"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Production d'électricité (NAF rév. 2, niveau classe, poste 35.11)";"Codes"
"idBank";"010768228";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"2024-03";"97.56";"A"
"2024-02";"96.0";"A"
"2024-01";"98.34";"A"
"2023-12";"98.39";"A"
"2023-11";"99.81";"A"
"2023-10";"97.86";"A"
"2023-09";"98.24";"A"
"2023-08";"96.39";"A"
"2023-07";"94.54";"A"
"2023-06";"93.46";"A"
"2023-05";"95.91";"A"
"2023-04";"91.47";"A"
"2023-03";"88.19";"A"
"2023-02";"86.7";"A"
"2023-01";"87.74";"A"
"2022-12";"86.61";"A"
"2022-11";"79.38";"A"
"2022-10";"78.25";"A"
"2022-09";"75.59";"A"
"2022-08";"77.9";"A"
"2022-07";"78.29";"A"
"2022-06";"81.7";"A"
"2022-05";"82.44";"A"
"2022-04";"86.8";"A"
"2022-03";"87.91";"A"
"2022-02";"91.69";"A"
"2022-01";"93.51";"A"
"2021-12";"94.07";"A"
"2021-11";"98.03";"A"
"2021-10";"101.49";"A"
"2021-09";"102.54";"A"
"2021-08";"106.93";"A"
"2021-07";"104.08";"A"
"2021-06";"102.05";"A"
"2021-05";"101.8";"A"
"2021-04";"95.11";"A"
"2021-03";"98.91";"A"
"2021-02";"94.59";"A"
"2021-01";"100.39";"A"
"2020-12";"99.26";"A"
"2020-11";"100.21";"A"
"2020-10";"101.75";"A"
"2020-09";"85.39";"A"
"2020-08";"91.41";"A"
"2020-07";"88.19";"A"
"2020-06";"89.49";"A"
"2020-05";"91.85";"A"
"2020-04";"88.67";"A"
"2020-03";"98.94";"A"
"2020-02";"102.05";"A"
"2020-01";"99.35";"A"
"2019-12";"99.8";"A"
"2019-11";"101.86";"A"
"2019-10";"100.58";"A"
"2019-09";"99.76";"A"
"2019-08";"102.21";"A"
"2019-07";"102.93";"A"
"2019-06";"103.47";"A"
"2019-05";"106.1";"A"
"2019-04";"103.11";"A"
"2019-03";"102.76";"A"
"2019-02";"101.15";"A"
"2019-01";"101.94";"A"
"2018-12";"103.4";"A"
"2018-11";"101.78";"A"
"2018-10";"102.72";"A"
"2018-09";"102.21";"A"
"2018-08";"100.64";"A"
"2018-07";"104.25";"A"
"2018-06";"104.41";"A"
"2018-05";"103.59";"A"
"2018-04";"102.42";"A"
"2018-03";"105.7";"A"
"2018-02";"108.16";"A"
"2018-01";"103.13";"A"
"2017-12";"102.48";"A"
"2017-11";"99.07";"A"
"2017-10";"97.11";"A"
"2017-09";"102.96";"A"
"2017-08";"101.01";"A"
"2017-07";"98.75";"A"
"2017-06";"96.07";"A"
"2017-05";"101.65";"A"
"2017-04";"102.97";"A"
"2017-03";"100.01";"A"
"2017-02";"96.51";"A"
"2017-01";"104.49";"A"
"2016-12";"98.73";"A"
"2016-11";"100.26";"A"
"2016-10";"98.16";"A"
"2016-09";"97.07";"A"
"2016-08";"97.32";"A"
"2016-07";"97.52";"A"
"2016-06";"103.72";"A"
"2016-05";"100.06";"A"
"2016-04";"105.3";"A"
"2016-03";"105.27";"A"
"2016-02";"104.78";"A"
"2016-01";"101.71";"A"
"2015-12";"98.95";"A"
"2015-11";"103.78";"A"
"2015-10";"110.17";"A"
"2015-09";"104.15";"A"
"2015-08";"105.24";"A"
"2015-07";"105.74";"A"
"2015-06";"103.45";"A"
"2015-05";"99.97";"A"
"2015-04";"100.88";"A"
"2015-03";"102.95";"A"
"2015-02";"105.26";"A"
"2015-01";"105.85";"A"
"2014-12";"104.58";"A"
"2014-11";"102.18";"A"
"2014-10";"101.11";"A"
"2014-09";"104.11";"A"
"2014-08";"106.04";"A"
"2014-07";"108.26";"A"
"2014-06";"102.55";"A"
"2014-05";"103.43";"A"
"2014-04";"99.89";"A"
"2014-03";"98.65";"A"
"2014-02";"99.77";"A"
"2014-01";"100.99";"A"
"2013-12";"102.34";"A"
"2013-11";"104.62";"A"
"2013-10";"102.09";"A"
"2013-09";"103.19";"A"
"2013-08";"103.52";"A"
"2013-07";"103.89";"A"
"2013-06";"103.03";"A"
"2013-05";"107.53";"A"
"2013-04";"108.53";"A"
"2013-03";"106.52";"A"
"2013-02";"105.84";"A"
"2013-01";"104.13";"A"
"2012-12";"103.89";"A"
"2012-11";"106.13";"A"
"2012-10";"104.47";"A"
"2012-09";"101.26";"A"
"2012-08";"98.14";"A"
"2012-07";"96.93";"A"
"2012-06";"98.53";"A"
"2012-05";"100.44";"A"
"2012-04";"109.46";"A"
"2012-03";"100.07";"A"
"2012-02";"110.76";"A"
"2012-01";"102.89";"A"
"2011-12";"102.08";"A"
"2011-11";"100.61";"A"
"2011-10";"103.99";"A"
"2011-09";"103.61";"A"
"2011-08";"103.93";"A"
"2011-07";"105.54";"A"
"2011-06";"106.29";"A"
"2011-05";"102.31";"A"
"2011-04";"101.59";"A"
"2011-03";"103.34";"A"
"2011-02";"103.23";"A"
"2011-01";"105.86";"A"
"2010-12";"111.69";"A"
"2010-11";"107.49";"A"
"2010-10";"102.3";"A"
"2010-09";"103.97";"A"
"2010-08";"106.46";"A"
"2010-07";"105.57";"A"
